title,url,points
"PSA: Internet Archive ""glitch"" deletes years of user data and accounts",https://blog.gingerbeardman.com/2024/08/01/psa-internet-archive-glitch-deletes-years-of-user-data-and-accounts/,165 points
gingerbeardman.com,from?site=gingerbeardman.com,165 points
Hundred Rabbits is a small collective exploring the failability of modern tech,https://100r.co/site/about_us.html,165 points
100r.co,from?site=100r.co,165 points
Threat actor abuses Cloudflare tunnels to deliver remote access trojans,https://www.proofpoint.com/us/blog/threat-insight/threat-actor-abuses-cloudflare-tunnels-deliver-rats,165 points
proofpoint.com,from?site=proofpoint.com,165 points
Flux: Open-source text-to-image model with 12B parameters,https://blog.fal.ai/flux-the-largest-open-sourced-text2img-model-now-available-on-fal/,165 points
fal.ai,from?site=fal.ai,165 points
Peerfetch – Peer-to-Peer HTTP over WebRTC,https://github.com/ambianic/peerfetch,165 points
github.com/ambianic,from?site=github.com/ambianic,165 points
"Oscar, an open-source contributor agent architecture",https://go.googlesource.com/oscar/+/refs/heads/master/README.md,165 points
googlesource.com,from?site=googlesource.com,165 points
YC closes deal with Google for dedicated compute cluster for AI startups,https://techcrunch.com/2024/08/01/google-cloud-now-has-a-dedicated-cluster-of-nvidia-gpus-for-y-combinator-startups/,165 points
techcrunch.com,from?site=techcrunch.com,165 points
Ask HN: Who is hiring? (August 2024),item?id=41129813,165 points
Russ Cox is stepping down as the Go tech lead,https://groups.google.com/g/golang-dev/c/0OqBkS2RzWw,165 points
groups.google.com,from?site=groups.google.com,165 points
GitOpper: GitOps Without Kubernetes,https://github.com/miekg/gitopper,165 points
github.com/miekg,from?site=github.com/miekg,165 points
The protein Reelin keeps popping up in brains that resist aging and Alzheimer’s,https://www.npr.org/sections/shots-health-news/2024/07/29/g-s1-13519/alzheimers-protein-reelin-brain-aging-amyloid-tau-memory,165 points
npr.org,from?site=npr.org,165 points
Robot dentist performs first human procedure,https://newatlas.com/health-wellbeing/robot-dentist-world-first/,165 points
newatlas.com,from?site=newatlas.com,165 points
Artificial intelligence gives weather forecasters a new edge,https://www.nytimes.com/interactive/2024/07/29/science/ai-weather-forecast-hurricane.html,165 points
nytimes.com,from?site=nytimes.com,165 points
xdg-override: change default application temporarily on Linux,https://github.com/koiuo/xdg-override,165 points
github.com/koiuo,from?site=github.com/koiuo,165 points
Tensorfuse (YC W24) Is Hiring,https://www.ycombinator.com/companies/tensorfuse/jobs/0AMFnY4-systems-infrastructure-engineer,165 points
ycombinator.com,from?site=ycombinator.com,165 points
Space is a latent sequence: A theory of the hippocampus,https://www.science.org/doi/10.1126/sciadv.adm8470,165 points
science.org,from?site=science.org,165 points
Ask HN: Who wants to be hired? (August 2024),item?id=41129811,165 points
"DIY, 8mm film scanner Kotokino Mark IV (2020)",https://www.sabulo.com/sb/3d-printing-2/8mm-film-scanner-kotokino-mark-iv/,165 points
sabulo.com,from?site=sabulo.com,165 points
InstantSplat: Sparse-View SfM-Free Gaussian Splatting in Seconds,https://instantsplat.github.io/,165 points
instantsplat.github.io,from?site=instantsplat.github.io,165 points
How Google handles JavaScript throughout the indexing process,https://vercel.com/blog/how-google-handles-javascript-throughout-the-indexing-process,165 points
vercel.com,from?site=vercel.com,165 points
How I got my laser eye injury,https://www.funraniumlabs.com/2024/07/how-i-got-my-laser-eye-injury/,165 points
funraniumlabs.com,from?site=funraniumlabs.com,165 points
WordGrinder: A simple word processor that runs on the console,https://github.com/davidgiven/wordgrinder,165 points
github.com/davidgiven,from?site=github.com/davidgiven,165 points
"Show HN: Anyma V, a hybrid physical modelling virtual instrument",https://aodyo.com/anyma-v/,165 points
aodyo.com,from?site=aodyo.com,165 points
The ef
